year,iso3st,grpop,pop_density
1979,ARB,3.571988512,14.15650197
1980,ARB,3.522827997,14.65521119
1981,ARB,3.254130437,15.13211088
1982,ARB,3.149637223,15.60871747
1983,ARB,3.194913968,16.10740257
1984,ARB,3.183159826,16.62012694
1985,ARB,3.121706461,17.13895851
1986,ARB,3.088090908,17.66822513
1987,ARB,3.029988887,18.20357039
1988,ARB,2.809002507,18.71490914
1989,ARB,2.710505655,19.22217781
1990,ARB,3.340860831,19.86436402
1991,ARB,2.337987995,20.32879046
1992,ARB,2.59158887,20.85559201
1993,ARB,2.818622349,21.44343239
1994,ARB,2.781062774,22.0397877
1995,ARB,2.554663432,22.6028301
1996,ARB,2.4715575,23.16147204
1997,ARB,2.434801292,23.72540786
1998,ARB,2.44931312,24.30651739
1999,ARB,2.422400411,24.89531857
2000,ARB,2.444843212,25.50397007
2001,ARB,2.454092733,26.12986115
2002,ARB,2.422253183,26.76279254
2003,ARB,2.36907122,27.39726108
2004,ARB,2.353741542,28.04214676
2005,ARB,2.402135259,28.7157315
2006,ARB,2.447973505,29.41852789
2007,ARB,2.547956319,30.16804543
2008,ARB,2.577576389,30.9456223
2009,ARB,2.502858489,31.72723537
2010,ARB,2.015187869,32.36662182
2011,ARB,2.334195401,33.12210727
2012,ARB,2.412343495,29.08442808
2013,ARB,2.604545414,29.84238257
2014,ARB,2.372841903,30.55077264
2015,ARB,2.488480603,31.31100357
2016,ARB,2.344680777,32.04514421
2017,ARB,2.026530721,32.6945464
2018,ARB,1.793576715,33.28095326
2019,ARB,1.899837582,33.91319589
2020,ARB,2.125212941,34.6339103
2021,ARB,1.525900242,35.16236238
1960,ARE,..,..
1961,ARE,4.943027508,1.94295973
1962,ARE,4.918728743,2.040918051
1963,ARE,4.890645688,2.143213179
1964,ARE,4.79792439,2.248549704
1965,ARE,4.536342872,2.352900591
1966,ARE,4.030696991,2.449676148
1967,ARE,3.237143512,2.530273162
1968,ARE,10.41043012,2.807885103
1969,ARE,18.38281572,3.374542382
1970,ARE,17.86429305,4.034581808
1971,ARE,15.63469429,4.717361307
1972,ARE,13.90685717,5.421205294
1973,ARE,12.52772652,6.144733878
1974,ARE,11.39834253,6.886609406
1975,ARE,10.43037036,7.643705998
1976,ARE,12.6185316,8.671726274
1977,ARE,14.25298855,10.00012672
1978,ARE,13.05782565,11.39501549
1979,ARE,11.95134055,12.84159392
1980,ARE,10.7682354,14.30160518
1981,ARE,7.960032297,15.48655308
1982,ARE,5.871800884,16.42312025
1983,ARE,5.742154138,17.39376232
1984,ARE,5.564806491,18.38912982
1985,ARE,5.360261609,19.40173191
1986,ARE,6.291195797,20.66154604
1987,ARE,7.029461493,22.1662067
1988,ARE,6.608235614,23.68048437
1989,ARE,6.227486299,25.20206984
1990,ARE,5.878422879,26.72796395
1991,ARE,5.553809971,28.25437905
1992,ARE,5.247244011,29.77654182
1993,ARE,4.952239975,31.28827091
1994,ARE,4.66407381,32.78214587
1995,ARE,4.471765524,34.28135736
1996,ARE,6.47661449,36.5751056
1997,ARE,8.124394045,39.67065615
1998,ARE,7.617796946,42.81077161
1999,ARE,7.157275754,45.98717263
2000,ARE,6.735681701,49.19142495
2001,ARE,6.376268946,52.43016052
2002,ARE,6.075393205,55.71424951
2003,ARE,5.784476952,59.03206139
2004,ARE,5.487941577,62.36225007
2005,ARE,5.187644319,65.68276542
2006,ARE,7.121344103,70.53083638
2007,ARE,11.58997989,79.197902
2008,ARE,11.38163441,88.74491692
2009,ARE,6.21880036,94.4390031
2010,ARE,2.398012041,96.73103351
2011,ARE,3.359320963,100.0357364
2012,ARE,3.958992142,104.0755843
2013,ARE,3.999119788,108.322036
2014,ARE,4.652922109,113.4812729
2015,ARE,5.383801622,119.7583357
2016,ARE,4.930468948,125.8109687
2017,ARE,3.173797859,129.8679949
2018,ARE,1.329868733,131.6066038
2019,ARE,1.054516344,133.0017601
2020,ARE,-0.474850155,132.3716981
2021,ARE,1.83513009,134.8233174
1960,ARG,..,..
1961,ARG,1.655166914,7.573483296
1962,ARG,1.656840891,7.700009135
1963,ARG,1.643398417,7.827596476
1964,ARG,1.610308825,7.954665307
1965,ARG,1.564114466,8.080063507
1966,ARG,1.531511345,8.204763053
1967,ARG,1.525525645,8.330888409
1968,ARG,1.530070062,8.459337009
1969,ARG,1.535106952,8.590198744
1970,ARG,1.560019413,8.72525825
1971,ARG,1.574258289,8.863703233
1972,ARG,1.583296226,9.005158787
1973,ARG,1.616756118,9.15193354
1974,ARG,1.644732158,9.303703013
1975,ARG,1.608108356,9.454526088
1976,ARG,1.565232308,9.603675608
1977,ARG,1.583610413,9.756971012
1978,ARG,1.598850033,9.914224117
1979,ARG,1.596847799,10.07380997
1980,ARG,1.593042286,10.23557509
1981,ARG,1.602012321,10.40087076
1982,ARG,1.604206799,10.56906774
1983,ARG,1.601904245,10.73973742
1984,ARG,1.592356919,10.91212121
1985,ARG,1.572629301,11.0850849
1986,ARG,1.555391224,11.25884919
1987,ARG,1.545129262,11.4341639
1988,ARG,1.549903304,11.61276286
1989,ARG,1.531348171,11.79196328
1990,ARG,1.491574629,11.9691675
1991,ARG,1.43788007,12.14251304
1992,ARG,1.3843812,12.31178065
1993,ARG,1.353640186,12.47957094
1994,ARG,1.340137575,12.64794003
1995,ARG,1.310311508,12.81475797
1996,ARG,1.257452179,12.97691481
1997,ARG,1.214647959,13.13549982
1998,ARG,1.175525632,13.29082212
1999,ARG,1.153043172,13.44495796
2000,ARG,1.133128076,13.59817298
