iso3,year,banking_crises,debt_crises,currency_crises,twin_crises,triple_crises
BEL,1981,,,,,
BEL,1982,,,,,
BEL,1983,,,,,
BEL,1984,,,,,
BEL,1985,,,,,
BEL,1986,,,,,
BEL,1987,,,,,
BEL,1988,,,,,
BEL,1989,,,,,
BEL,1990,,,,,
BEL,1991,,,,,
BEL,1992,,,,,
BEL,1993,,,,,
BEL,1994,,,,,
BEL,1995,,,,,
BEL,1996,,,,,
BEL,1997,,,,,
BEL,1998,,,,,
BEL,1999,,,,,
BEL,2000,,,,,
BEL,2001,,,,,
BEL,2002,,,,,
BEL,2003,,,,,
BEL,2004,,,,,
BEL,2005,,,,,
BEL,2006,,,,,
BEL,2007,,,,,
BEL,2008,1,,,,
BEL,2009,1,,,,
BEL,2010,1,,,,
BEL,2011,1,,,,
BEL,2012,1,,,,
BEL,2013,,,,,
BEL,2014,,,,,
BEL,2015,,,,,
BEL,2016,,,,,
BEL,2017,,,,,
BEL,2018,,,,,
BEL,2019,,,,,
BEN,1950,,,,,
BEN,1951,,,,,
BEN,1952,,,,,
BEN,1953,,,,,
BEN,1954,,,,,
BEN,1955,,,,,
BEN,1956,,,,,
BEN,1957,,,,,
BEN,1958,,,,,
BEN,1959,,,,,
BEN,1960,,,,,
BEN,1961,,,,,
BEN,1962,,,,,
BEN,1963,,,,,
BEN,1964,,,,,
BEN,1965,,1,,,
BEN,1966,,1,,,
BEN,1967,,1,,,
BEN,1968,,1,,,
BEN,1969,,1,,,
BEN,1970,,1,,,
BEN,1971,,1,,,
BEN,1972,,1,,,
BEN,1973,,1,,,
BEN,1974,,1,,,
BEN,1975,,1,,,
BEN,1976,,1,,,
BEN,1977,,1,,,
BEN,1978,,1,,,
BEN,1979,,1,,,
BEN,1980,,1,,,
BEN,1981,,1,,,
BEN,1982,,,,,
BEN,1983,,1,,,
BEN,1984,,1,,,
BEN,1985,,1,,,
BEN,1986,,1,,,
BEN,1987,,1,,,
BEN,1988,1,1,,,
BEN,1989,1,1,,,
BEN,1990,1,1,,,
BEN,1991,1,1,,,
BEN,1992,1,1,,,
BEN,1993,,1,,,
BEN,1994,,1,1,,
BEN,1995,,1,,,
BEN,1996,,1,,,
BEN,1997,,1,,,
BEN,1998,,1,,,
BEN,1999,,1,,,
BEN,2000,,1,,,
BEN,2001,,,,,
BEN,2002,,,,,
BEN,2003,,1,,,
