fold,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,country_id
2,25.817017,18.114368,25.590801,17.90599,19.557829,19.383936,67
2,25.899416,18.16275,25.672026,17.954441,19.557829,19.383936,67
2,20.626198,20.978941,19.50884,20.744822,19.557829,19.383936,68
2,20.926723,19.354685,19.512459,19.101608,19.557829,19.383936,68
2,21.341587,20.34552,20.185677,20.073067,19.557829,19.383936,68
2,21.685648,20.531225,20.768396,20.25984,19.557829,19.383936,68
2,21.780659,20.41905,20.955194,20.10112,19.557829,19.383936,68
2,22.741524,21.345207,22.175287,21.094788,19.557829,19.383936,68
2,22.674778,21.373684,22.17531,21.123167,19.557829,19.383936,68
2,22.714678,21.43202,22.180237,21.18089,19.557829,19.383936,68
2,24.083727,23.527956,24.606598,23.303808,19.557829,19.383936,69
2,24.493567,22.787304,25.00154,22.590324,19.557829,19.383936,69
2,24.4974,22.806664,24.980337,22.61313,19.557829,19.383936,69
2,24.681034,23.731613,25.15245,23.557003,19.557829,19.383936,69
2,24.907026,23.76668,25.227247,23.597736,19.557829,19.383936,69
2,25.089354,23.783268,25.058132,23.619598,19.557829,19.383936,69
2,24.850925,23.259892,24.612116,23.030838,19.557829,19.383936,69
2,0.0,19.141554,0.0,18.878197,19.557829,19.383936,70
2,22.382881,19.791363,21.893457,19.585484,19.557829,19.383936,70
2,21.951582,19.308252,21.870655,19.041925,19.557829,19.383936,70
2,23.280567,19.525509,22.987732,19.262547,19.557829,19.383936,70
2,23.522898,20.437254,23.371315,20.237066,19.557829,19.383936,70
2,22.114244,22.163513,21.664433,21.949448,19.557829,19.383936,71
2,23.349384,22.069471,23.36812,21.845695,19.557829,19.383936,71
2,23.517334,22.097206,23.246832,21.873055,19.557829,19.383936,71
2,23.39162,22.211477,23.525875,21.98754,19.557829,19.383936,71
2,23.570744,22.258638,23.489258,22.033957,19.557829,19.383936,71
2,23.810791,22.357265,23.759535,22.131268,19.557829,19.383936,71
2,23.82026,22.46553,23.62151,22.23841,19.557829,19.383936,71
3,0.0,3.3137088,0.0,3.030845,22.905598,22.818457,0
3,0.0,5.341735,0.0,4.971507,22.905598,22.818457,1
3,0.0,5.397989,0.0,5.0273924,22.905598,22.818457,1
3,0.0,11.295563,0.0,11.281234,22.905598,22.818457,1
3,0.0,13.799475,0.0,13.697086,22.905598,22.818457,1
3,20.82798,13.920191,19.446531,13.835242,22.905598,22.818457,1
3,21.647854,13.902362,20.758808,13.809575,22.905598,22.818457,1
3,21.791498,14.649368,20.905018,14.550786,22.905598,22.818457,1
3,22.104038,15.306926,21.448269,15.189986,22.905598,22.818457,1
3,22.33392,15.375287,21.864962,15.266826,22.905598,22.818457,1
3,22.373909,15.383056,21.87903,15.275584,22.905598,22.818457,1
3,22.404816,15.399659,21.929243,15.294002,22.905598,22.818457,1
3,22.876268,23.980204,23.47726,23.772942,22.905598,22.818457,2
3,22.73657,23.968075,23.621828,23.758558,22.905598,22.818457,2
3,22.73256,23.68733,23.721285,23.487095,22.905598,22.818457,2
3,23.806385,23.24989,23.839632,23.006025,22.905598,22.818457,2
3,23.866535,24.157455,24.64346,23.946175,22.905598,22.818457,2
3,25.010498,24.529087,25.013357,24.323336,22.905598,22.818457,2
3,25.174122,24.773603,24.954634,24.57203,22.905598,22.818457,2
3,21.98352,18.723251,21.002556,18.536785,22.905598,22.818457,3
3,22.185999,18.639006,21.42423,18.491379,22.905598,22.818457,3
3,22.455574,18.731005,21.447868,18.594599,22.905598,22.818457,3
3,22.27227,18.793262,22.059635,18.664513,22.905598,22.818457,3
3,24.48473,23.96729,24.756998,23.769012,22.905598,22.818457,4
3,24.540318,24.02923,24.970797,23.831444,22.905598,22.818457,4
3,25.08027,23.985706,25.432796,23.790623,22.905598,22.818457,4
3,25.367657,24.21216,25.693079,24.016092,22.905598,22.818457,4
3,25.932753,24.167715,25.943623,23.978619,22.905598,22.818457,4
3,26.031534,24.18712,25.985956,23.998297,22.905598,22.818457,4
3,26.130438,24.382647,26.051142,24.187307,22.905598,22.818457,4
3,26.382748,24.46062,26.260601,24.265053,22.905598,22.818457,4
3,26.525385,24.519121,26.482168,24.323292,22.905598,22.818457,4
3,0.0,0.25374234,0.0,0.06677027,22.905598,22.818457,5
3,0.0,0.10847852,0.0,-0.06934705,22.905598,22.818457,5
3,0.0,0.14335422,0.0,-0.027908646,22.905598,22.818457,5
3,0.0,0.4612964,0.0,0.3434096,22.905598,22.818457,5
3,0.0,0.47561148,0.0,0.3593728,22.905598,22.818457,5
3,0.0,0.4811317,0.0,0.3616641,22.905598,22.818457,5
3,26.187098,25.202028,26.208063,25.014296,22.905598,22.818457,6
3,26.272343,25.227917,26.317978,25.041437,22.905598,22.818457,6
3,20.762697,17.80419,20.049692,17.434547,22.905598,22.818457,7
3,20.472553,17.981573,19.926846,17.611073,22.905598,22.818457,7
3,20.385595,17.98689,19.862593,17.615345,22.905598,22.818457,7
3,20.9484,21.354616,20.716846,21.132324,22.905598,22.818457,7
3,21.44377,21.735474,21.4444,21.49812,22.905598,22.818457,7
